window_len,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size,extra__forcast_time_steps
7,sinusoidal,1.4329656,0.58541214,1.2695423,0.5808654,2.3677907,1.1201364,0.45112666,0.9856115,0.47124243,1.8617779,0.87954366,0.057448722,0.88403106,0.7417205,0.9570343,0.1873190658433097,0.18289238630022328,1.2400308873514474e-05,15106.0,286.51476821729113,271875,0
7,rope,1.4562889,0.58626133,1.2810597,0.5940285,2.3884597,1.1428566,0.45161664,1.0143483,0.48443013,1.8811537,0.87558573,0.057510946,0.8828295,0.74094546,0.96093416,0.23206581388201034,0.22767497907366072,1.5362492644115605e-05,15106.0,331.09293062346325,109462,0
15,learnable,1.2844905,0.5001172,1.1389048,0.5404329,2.0791636,1.0249648,0.4089131,0.87554646,0.43068156,1.6832099,0.89979124,0.051121294,0.9106871,0.76905435,0.9671346,0.18126344680786133,0.1759101039341518,5.7054909287963905e-06,31770.0,289.25425546509877,181109,0
15,sinusoidal,1.3024657,0.49988598,1.1562576,0.5673857,2.0944052,1.0142815,0.38224933,0.88901174,0.45958126,1.6365855,0.8963446,0.054038916,0.90747416,0.7396058,0.9657915,0.19490226677485878,0.19055486188616064,6.134789637231939e-06,31770.0,286.51476821729113,271875,0
15,rope,1.3197439,0.50151825,1.1729076,0.5763429,2.1041238,1.0342516,0.3864648,0.92448616,0.46806377,1.6555032,0.89439714,0.052108984,0.9065851,0.7494811,0.96885276,0.21485990285873413,0.21061919294084827,6.762980889478567e-06,31770.0,331.09293062346325,109462,0
30,learnable,1.1508425,0.40947908,1.0579166,0.50943816,1.7778225,0.90380734,0.3215776,0.80831957,0.403291,1.3847264,0.91628647,0.045533206,0.92769253,0.7830849,0.9706739,0.16532738719667708,0.16046808733258924,2.6974610408986305e-06,61290.0,289.25425546509877,181109,0
30,sinusoidal,1.1564623,0.40086475,1.072412,0.5450101,1.8333023,0.889196,0.29584074,0.83663476,0.43925765,1.3957701,0.9136217,0.050923392,0.92988455,0.7456075,0.97339183,0.20757544040679932,0.20310906110491073,3.3867750107162562e-06,61290.0,286.51476821729113,271875,0
30,rope,1.1677563,0.402958,1.0740252,0.5447282,1.8394191,0.9051915,0.30197558,0.84418845,0.43913302,1.4074235,0.9131457,0.047867667,0.9266214,0.7601559,0.97348404,0.2393948350633893,0.23471205357142852,3.905936287541024e-06,61290.0,331.09293062346325,109462,0
60,learnable,1.0184904,0.3218541,0.9841465,0.47469607,1.663288,0.784742,0.23874696,0.75729024,0.37370515,1.2176353,0.93044984,0.04203175,0.9463209,0.7980836,0.9732551,0.18992613043103898,0.18440237862723216,1.6721793487501236e-06,113580.0,289.25425546509877,181109,0
60,sinusoidal,1.0107135,0.30408245,1.0050124,0.51596785,1.6996157,0.76719683,0.21482179,0.78250504,0.4129719,1.2881229,0.9287984,0.0492556,0.94467103,0.7613006,0.98063254,0.22591269867760802,0.2211361432756697,1.989018301440465e-06,113580.0,286.51476821729113,271875,0
60,rope,1.017376,0.3039465,1.0029081,0.51352066,1.6970356,0.7763882,0.21690519,0.7856983,0.41014647,1.294055,0.9288126,0.0467066,0.9403522,0.77375066,0.9808275,0.22096532583236694,0.21598503766741065,1.9454598153932637e-06,113580.0,331.09293062346325,109462,0
90,learnable,0.95841056,0.2850118,0.95072687,0.46907037,1.6322553,0.7363492,0.20879395,0.71176356,0.37099114,1.2000836,0.9361129,0.0419662,0.9486019,0.80216867,0.97556525,0.19521103586469377,0.18962625558035717,1.244412799545444e-06,156870.0,289.25425546509877,181109,0
90,sinusoidal,0.9413735,0.26227012,0.9589504,0.5009596,1.6373236,0.71624464,0.1866958,0.730207,0.3996299,1.2440242,0.9353566,0.049667515,0.95226,0.7692034,0.9831838,0.2550636274474008,0.2497643694196429,1.6259554245387948e-06,156870.0,286.51476821729113,271875,0
90,rope,0.9476144,0.2604171,0.94940114,0.503878,1.635357,0.72350645,0.18669389,0.739728,0.40168425,1.2522527,0.9349805,0.048243534,0.94799507,0.7774491,0.9838075,0.22046300343104774,0.2151803850446428,1.4053866477404718e-06,156870.0,331.09293062346325,109462,0
120,learnable,1.3812368,0.35106918,1.5133234,0.7985531,1.907708,1.0043819,0.2552495,1.0694616,0.5530069,1.402512,0.87647265,0.052236054,0.8932899,0.73834544,0.93412054,0.17879851375307357,0.17287867954799108,9.353343468982715e-07,191160.0,289.25425546509877,181109,0
120,sinusoidal,1.2511197,0.3409716,1.3388202,0.63910335,1.9084446,0.91143596,0.2260188,0.94256246,0.48898655,1.3134418,0.8988395,0.047948286,0.910274,0.7585381,0.94328976,0.26750462395804264,0.2621428745814732,1.3993755176712841e-06,191160.0,286.51476821729113,271875,0
120,rope,0.9430823,0.25665537,0.9668434,0.5084546,1.6738492,0.7173041,0.18331645,0.7344348,0.40560034,1.2675757,0.93547684,0.04828881,0.9515195,0.77779347,0.98268205,0.22562732015337264,0.22005106026785715,1.1803061317920729e-06,191160.0,331.09293062346325,109462,0
150,learnable,1.8991963,0.5420771,2.0767553,1.0156324,2.60057,1.3377209,0.36502475,1.4977484,0.7534571,1.7823269,0.7825141,0.0569001,0.7986351,0.6214363,0.8494764,0.18778957639421737,0.18192112513950884,8.522331581312339e-07,220350.0,289.25425546509877,181109,0
150,sinusoidal,1.6802889,0.56459326,1.8393357,0.74952346,2.612001,1.1913388,0.36615163,1.3098243,0.5635832,1.7394153,0.8379278,0.034915928,0.8504088,0.73665124,0.8763162,0.287463869367327,0.28197002301897317,1.3045784858966506e-06,220350.0,286.51476821729113,271875,0
150,rope,1.1973804,0.40110537,1.2696579,0.5773588,2.1591852,0.86178017,0.25583223,0.9231918,0.4485681,1.5267438,0.91144544,0.04178583,0.92511594,0.78399897,0.9558985,0.24206901448113585,0.23640703473772326,1.098565983576745e-06,220350.0,331.09293062346325,109462,0
